arbre_code,arbre_libelle_fr,questions_arbre,noeud_code,parent_code,profondeur,libelle_fr,libelle_ar,provenance
SE,Sciences de l'education,245,SE-SOC-EDU,,1,Ecole et societe,المدرسة والمجتمع,existant
SE,Sciences de l'education,245,SE-SOC-GROUP,,1,Groupe-classe et communication,جماعة القسم والتواصل,existant
SE,Sciences de l'education,245,SE-PSY-LEARN,,1,Mecanismes de l'apprentissage,آليات التعلم,existant
SE,Sciences de l'education,245,SE-PSY-DEV,,1,Developpement cognitif de l'enfant,النمو المعرفي للطفل,existant
SE,Sciences de l'education,245,SE-PED-METHODS,,1,Methodes d'enseignement,طرائق التدريس,existant
SE,Sciences de l'education,245,SE-PED-PPO-APC,,1,Pedagogie par objectifs et par competences,بيداغوجيا الأهداف والكفايات,existant
SE,Sciences de l'education,245,SE-SYS,,1,Systeme educatif et organisation scolaire,نظام التربية والتكوين والتنظيم المدرسي,propose
SE,Sciences de l'education,245,SE-INC,,1,Education inclusive,التربية الدامجة,propose
SE,Sciences de l'education,245,SE-PSY-DIFF,,1,Differences individuelles et styles d'apprentissage,الفروق الفردية وأنماط التعلم,propose
SE,Sciences de l'education,245,SE-PED-EVAL,,1,Evaluation des apprentissages,التقويم التربوي,propose
SE,Sciences de l'education,245,SE-HIST,,1,Histoire de la pensee educative et philosophie de l'education,تاريخ الفكر التربوي وفلسفة التربية,propose
DID-SEC-AR,Didactique - Secondaire 2g - Arabe,60,DID-SEC-AR-FOND,,1,Fondements et concepts de base,المرتكزات والمفاهيم الأساس,propose
DID-SEC-AR,Didactique - Secondaire 2g - Arabe,60,DID-SEC-AR-PROG,,1,Programmes et curriculum officiels,المفاهيم والبرامج,propose
DID-SEC-AR,Didactique - Secondaire 2g - Arabe,60,DID-SEC-AR-DEM,,1,Principes et demarches didactiques,المبادئ الديدكتيكية,propose
DID-SEC-AR,Didactique - Secondaire 2g - Arabe,60,DID-SEC-AR-RES,,1,Ressources et supports didactiques,الموارد الديدكتيكية,propose
DID-SEC-AR,Didactique - Secondaire 2g - Arabe,60,DID-SEC-AR-EVAL,,1,Evaluation et remediation,التقويم والدعم,propose
DID-SEC-EI,Didactique - Secondaire 2g - Education islamique,60,DID-SEC-EI-FOND,,1,Fondements et concepts de base,المرتكزات والمفاهيم الأساس,propose
DID-SEC-EI,Didactique - Secondaire 2g - Education islamique,60,DID-SEC-EI-PROG,,1,Programmes et curriculum officiels,المفاهيم والبرامج,propose
DID-SEC-EI,Didactique - Secondaire 2g - Education islamique,60,DID-SEC-EI-DEM,,1,Principes et demarches didactiques,المبادئ الديدكتيكية,propose
DID-SEC-EI,Didactique - Secondaire 2g - Education islamique,60,DID-SEC-EI-RES,,1,Ressources et supports didactiques,الموارد الديدكتيكية,propose
DID-SEC-EI,Didactique - Secondaire 2g - Education islamique,60,DID-SEC-EI-EVAL,,1,Evaluation et remediation,التقويم والدعم,propose
DID-SEC-FR,Didactique - Secondaire 2g - Francais,60,DID-SEC-FR-FOND,,1,Fondements et concepts de base,المرتكزات والمفاهيم الأساس,propose
DID-SEC-FR,Didactique - Secondaire 2g - Francais,60,DID-SEC-FR-PROG,,1,Programmes et curriculum officiels,المفاهيم والبرامج,propose
DID-SEC-FR,Didactique - Secondaire 2g - Francais,60,DID-SEC-FR-DEM,,1,Principes et demarches didactiques,المبادئ الديدكتيكية,propose
DID-SEC-FR,Didactique - Secondaire 2g - Francais,60,DID-SEC-FR-RES,,1,Ressources et supports didactiques,الموارد الديدكتيكية,propose
DID-SEC-FR,Didactique - Secondaire 2g - Francais,60,DID-SEC-FR-EVAL,,1,Evaluation et remediation,التقويم والدعم,propose
DID-SEC-PC,Didactique - Secondaire 2g - Physique-chimie,60,DID-SEC-PC-FOND,,1,Fondements et concepts de base,المرتكزات والمفاهيم الأساس,propose
DID-SEC-PC,Didactique - Secondaire 2g - Physique-chimie,60,DID-SEC-PC-PROG,,1,Programmes et curriculum officiels,المفاهيم والبرامج,propose
DID-SEC-PC,Didactique - Secondaire 2g - Physique-chimie,60,DID-SEC-PC-DEM,,1,Principes et demarches didactiques,المبادئ الديدكتيكية,propose
DID-SEC-PC,Didactique - Secondaire 2g - Physique-chimie,60,DID-SEC-PC-RES,,1,Ressources et supports didactiques,الموارد الديدكتيكية,propose
DID-SEC-PC,Didactique - Secondaire 2g - Physique-chimie,60,DID-SEC-PC-EVAL,,1,Evaluation et remediation,التقويم والدعم,propose
DID-SEC-SOC,Didactique - Secondaire 2g - Sociales,60,DID-SEC-SOC-FOND,,1,Fondements et concepts de base,المرتكزات والمفاهيم الأساس,propose
DID-SEC-SOC,Didactique - Secondaire 2g - Sociales,60,DID-SEC-SOC-PROG,,1,Programmes et curriculum officiels,المفاهيم والبرامج,propose
DID-SEC-SOC,Didactique - Secondaire 2g - Sociales,60,DID-SEC-SOC-DEM,,1,Principes et demarches didactiques,المبادئ الديدكتيكية,propose
DID-SEC-SOC,Didactique - Secondaire 2g - Sociales,60,DID-SEC-SOC-RES,,1,Ressources et supports didactiques,الموارد الديدكتيكية,propose
DID-SEC-SOC,Didactique - Secondaire 2g - Sociales,60,DID-SEC-SOC-EVAL,,1,Evaluation et remediation,التقويم والدعم,propose
DID-SEC-EN,Didactique - Secondaire 2g - Anglais,57,DID-SEC-EN-FOND,,1,Fondements et concepts de base,المرتكزات والمفاهيم الأساس,propose
DID-SEC-EN,Didactique - Secondaire 2g - Anglais,57,DID-SEC-EN-PROG,,1,Programmes et curriculum officiels,المفاهيم والبرامج,propose
DID-SEC-EN,Didactique - Secondaire 2g - Anglais,57,DID-SEC-EN-DEM,,1,Principes et demarches didactiques,المبادئ الديدكتيكية,propose
DID-SEC-EN,Didactique - Secondaire 2g - Anglais,57,DID-SEC-EN-RES,,1,Ressources et supports didactiques,الموارد الديدكتيكية,propose
DID-SEC-EN,Didactique - Secondaire 2g - Anglais,57,DID-SEC-EN-EVAL,,1,Evaluation et remediation,التقويم والدعم,propose
DID-PRI-AR,Didactique - Primaire - Arabe,50,DID-PRI-AR-FOND,,1,Fondements et concepts de base,المرتكزات والمفاهيم الأساس,propose
DID-PRI-AR,Didactique - Primaire - Arabe,50,DID-PRI-AR-PROG,,1,Programmes et curriculum officiels,المفاهيم والبرامج,propose
DID-PRI-AR,Didactique - Primaire - Arabe,50,DID-PRI-AR-DEM,,1,Principes et demarches didactiques,المبادئ الديدكتيكية,propose
